X,400 cell,X,500 cell,,,X,rho
0.59375,0.424967051,0.475,0.465659072,,,0.405812079,0.681930627
0.59625,0.424511467,0.477,0.459514491,,,0.406129669,0.680777324
0.59875,0.423861173,0.479,0.453050002,,,0.406447259,0.679625582
0.60125,0.422870902,0.481,0.446161709,,,0.406764849,0.6784754
0.60375,0.421338523,0.483,0.439024303,,,0.407082439,0.677326775
0.60625,0.419102814,0.485,0.432769475,,,0.407400029,0.676179707
0.60875,0.416062937,0.487,0.430425648,,,0.407717619,0.675034193
0.61125,0.411919066,0.489,0.430030699,,,0.408035209,0.673890232
0.61375,0.406519551,0.491,0.429702467,,,0.408352799,0.672747822
0.61625,0.399931184,0.493,0.42884859,,,0.408670389,0.671606962
0.61875,0.392099026,0.495,0.428089938,,,0.40898798,0.670467651
0.62125,0.38305335,0.497,0.426663107,,,0.40930557,0.669329886
0.62375,0.373379884,0.499,0.425681861,,,0.40962316,0.668193667
0.62625,0.363178501,0.501,0.425207462,,,0.40994075,0.667058991
0.62875,0.352402398,0.503,0.425172365,,,0.41025834,0.665925857
0.63125,0.341387375,0.505,0.425156504,,,0.41057593,0.664794263
0.63375,0.330855281,0.507,0.425157466,,,0.41089352,0.663664208
0.63625,0.320652528,0.509,0.425170383,,,0.41121111,0.662535691
0.63875,0.310883713,0.511,0.425207436,,,0.4115287,0.661408709
0.64125,0.302332661,0.513,0.42532305,,,0.41184629,0.660283261
0.64375,0.295215614,0.515,0.42544964,,,0.412163881,0.659159346
0.64625,0.289325794,0.517,0.425704894,,,0.412481471,0.658036962
0.64875,0.284548126,0.519,0.425774523,,,0.412799061,0.656916107
0.65125,0.280604076,0.521,0.425839572,,,0.413116651,0.655796781
0.65375,0.277287895,0.523,0.425973306,,,0.413434241,0.65467898
0.65625,0.274658119,0.525,0.426057636,,,0.413751831,0.653562704
0.65875,0.272464181,0.527,0.426130173,,,0.414069421,0.652447952
0.66125,0.270514919,0.529,0.426133058,,,0.414387011,0.651334721
0.66375,0.269096432,0.531,0.426136117,,,0.414704601,0.65022301
0.66625,0.268199969,0.533,0.426145116,,,0.415022191,0.649112818
0.66875,0.267544059,0.535,0.426152354,,,0.415339782,0.648004142
0.67125,0.267041156,0.537,0.426161158,,,0.415657372,0.646896982
0.67375,0.266638735,0.539,0.426160874,,,0.415974962,0.645791336
0.67625,0.266350195,0.541,0.426160851,,,0.416292552,0.644687202
0.67875,0.266119811,0.543,0.426160673,,,0.416610142,0.643584579
0.68125,0.26593432,0.545,0.426159661,,,0.416927732,0.642483465
0.68375,0.265793532,0.547,0.426158639,,,0.417245322,0.641383859
0.68625,0.265710259,0.549,0.426155904,,,0.417562912,0.640285758
0.68875,0.265657192,0.551,0.426153985,,,0.417880502,0.639189163
0.69125,0.265620937,0.553,0.426152332,,,0.418198092,0.63809407
0.69375,0.265596325,0.555,0.426151154,,,0.418515683,0.637000479
0.69625,0.265580044,0.557,0.426149074,,,0.418833273,0.635908387
0.69875,0.265568828,0.559,0.426145418,,,0.419150863,0.634817794
0.70125,0.265562137,0.561,0.426145977,,,0.419468453,0.633728698
0.70375,0.265557278,0.563,0.426137536,,,0.419786043,0.632641097
0.70625,0.265554512,0.565,0.42613374,,,0.420103633,0.63155499
0.70875,0.265554403,0.567,0.426131591,,,0.420421223,0.630470375
0.71125,0.265555199,0.569,0.426116861,,,0.420738813,0.629387251
0.71375,0.265556152,0.571,0.426107428,,,0.421056403,0.628305616
0.71625,0.265557776,0.573,0.426096065,,,0.421373993,0.627225468
0.71875,0.265560608,0.575,0.426082566,,,0.421691584,0.626146807
0.72125,0.265562967,0.577,0.426067446,,,0.422009174,0.62506963
0.72375,0.265564664,0.579,0.426053573,,,0.422326764,0.623993936
0.72625,0.265567082,0.581,0.426028336,,,0.422644354,0.622919724
0.72875,0.265570866,0.583,0.426009997,,,0.422961944,0.621846991
0.73125,0.265574204,0.585,0.425963541,,,0.423279534,0.620775737
0.73375,0.265576169,0.587,0.425932868,,,0.423597124,0.619705959
0.73625,0.265576947,0.589,0.425867564,,,0.423914714,0.618637657
0.73875,0.265577187,0.591,0.425789926,,,0.424232304,0.617570829
0.74125,0.265570568,0.593,0.425674683,,,0.424549894,0.616505473
0.74375,0.265366238,0.595,0.425567924,,,0.424867485,0.615441588
0.74625,0.261279972,0.597,0.425461604,,,0.425185075,0.614379172
0.74875,0.227022617,0.599,0.425267713,,,0.425502665,0.613318224
0.75125,0.172883356,0.601,0.424872806,,,0.425820255,0.612258742
0.75375,0.142548179,0.603,0.42426117,,,0.426137845,0.611200725
0.75625,0.130226159,0.605,0.42358004,,,0.426455435,0.610144171
0.75875,0.126367191,0.607,0.423060735,,,0.426773025,0.609089078
0.76125,0.125328644,0.609,0.422820612,,,0.427090615,0.608035446
0.76375,0.125065275,0.611,0.422671152,,,0.427408205,0.606983272
0.76625,0.124999677,0.613,0.422064574,,,0.427725795,0.605932555
0.76875,0.124983417,0.615,0.420224977,,,0.428043386,0.604883294
0.77125,0.124979391,0.617,0.416400732,,,0.428360976,0.603835487
0.77375,0.124978395,0.619,0.410116008,,,0.428678566,0.602789132
0.77625,0.124978149,0.621,0.401315991,,,0.428996156,0.601744229
0.77875,0.124978088,0.623,0.390365618,,,0.429313746,0.600700775
0.78125,0.124978072,0.625,0.377928593,,,0.429631336,0.599658769
0.78375,0.124978069,0.627,0.364790998,,,0.429948926,0.59861821
0.78625,0.124978068,0.629,0.351696634,,,0.430266516,0.597579095
0.78875,0.124978068,0.631,0.339235318,,,0.430584106,0.596541424
0.79125,0.124978067,0.633,0.327797356,,,0.430901696,0.595505195
0.79375,0.124978067,0.635,0.317583211,,,0.431219287,0.594470407
0.79625,0.124978067,0.637,0.308645599,,,0.431536877,0.593437058
